Simulation time (in s): 15
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 40
Percentage of mining power of adversary-2 (zeta2): 30
Mean interarrival time between transactions (in ms) (T_tx): 10
Mean interarrival time between blocks (in ms) (I): 250.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Slow,Low CPU
4,Fast,Low CPU
5,Fast,High CPU
6,Fast,High CPU
7,Fast,Low CPU
8,Fast,High CPU
9,Fast,Low CPU
10,Fast,Low CPU
11,Slow,High CPU
12,Fast,High CPU
13,Fast,Low CPU
14,Fast,Low CPU
15,Fast,Low CPU
16,Fast,Low CPU
17,Fast,Low CPU
18,Fast,Low CPU
19,Fast,High CPU
20,Slow,High CPU
21,Slow,Low CPU
22,Fast,Low CPU
23,Slow,Low CPU
24,Slow,Low CPU
25,Fast,High CPU
26,Fast,Low CPU
27,Slow,Low CPU
28,Slow,Low CPU
29,Slow,Low CPU
30,Slow,High CPU
31,Slow,High CPU
32,Slow,Low CPU
33,Fast,Low CPU
34,Fast,High CPU
35,Fast,High CPU
36,Slow,High CPU
37,Fast,High CPU
38,Slow,Low CPU
39,Slow,High CPU
40,Slow,Low CPU
41,Fast,Low CPU
42,Slow,Low CPU
43,Slow,Low CPU
44,Fast,High CPU
45,Fast,High CPU
46,Fast,Low CPU
47,Slow,High CPU
48,Slow,Low CPU
49,Fast,Low CPU
50,Slow,Low CPU
51,Fast,High CPU
52,Fast,High CPU
53,Slow,High CPU
54,Slow,High CPU
55,Fast,Low CPU
56,Fast,High CPU
57,Fast,Low CPU
58,Slow,High CPU
59,Fast,Low CPU
60,Slow,Low CPU
61,Fast,Low CPU
62,Slow,Low CPU
63,Slow,Low CPU
64,Fast,High CPU
65,Fast,Low CPU
66,Fast,High CPU
67,Fast,Low CPU
68,Slow,Low CPU
69,Fast,Low CPU
70,Fast,Low CPU
71,Fast,Low CPU
72,Fast,Low CPU
73,Slow,High CPU
74,Fast,High CPU
75,Fast,Low CPU
76,Slow,High CPU
77,Slow,High CPU
78,Slow,Low CPU
79,Slow,Low CPU
80,Fast,Low CPU
81,Fast,High CPU
82,Fast,High CPU
83,Slow,High CPU
84,Slow,Low CPU
85,Fast,High CPU
86,Fast,Low CPU
87,Fast,Low CPU
88,Slow,High CPU
89,Slow,Low CPU
90,Slow,Low CPU
91,Fast,Low CPU
92,Slow,High CPU
93,Fast,Low CPU
94,Slow,Low CPU
95,Fast,High CPU
96,Fast,High CPU
97,Slow,High CPU
98,Fast,High CPU
99,Fast,Low CPU
100,Slow,Low CPU
